,input_number,input,input_ensg,ensg_number,ortholog_name,ortholog_ensg,description
688,1019,Golga4,ENSMUSG00000038708,1019.1.1,GOLGA4,ENSG00000144674,golgin A4 [Source:HGNC Symbol;Acc:HGNC:4427]
253,1020,Ccdc12,ENSMUSG00000019659,1020.1.1,CCDC12,ENSG00000160799,coiled-coil domain containing 12 [Source:HGNC Symbol;Acc:HGNC:28332]
1688,1021,Snrpe,ENSMUSG00000090553,1021.1.1,SNRPE,ENSG00000182004,small nuclear ribonucleoprotein polypeptide E [Source:HGNC Symbol;Acc:HGNC:11161]
388,1022,Crybg3,ENSMUSG00000022723,1022.1.1,CRYBG3,ENSG00000080200,crystallin beta-gamma domain containing 3 [Source:HGNC Symbol;Acc:HGNC:34427]
1380,1023,Pttg1ip,ENSMUSG00000009291,1023.1.1,PTTG1IP,ENSG00000183255,PTTG1 interacting protein [Source:HGNC Symbol;Acc:HGNC:13524]
1354,1024,Psmb7,ENSMUSG00000026750,1024.1.1,PSMB7,ENSG00000136930,proteasome subunit beta 7 [Source:HGNC Symbol;Acc:HGNC:9544]
2027,1025,Zc3h13,ENSMUSG00000022000,1025.1.1,ZC3H13,ENSG00000123200,zinc finger CCCH-type containing 13 [Source:HGNC Symbol;Acc:HGNC:20368]
1243,1026,Pfdn2,ENSMUSG00000006412,1026.1.1,PFDN2,ENSG00000143256,prefoldin subunit 2 [Source:HGNC Symbol;Acc:HGNC:8867]
497,1027,Dynlt3,ENSMUSG00000031176,1027.1.1,DYNLT3,ENSG00000165169,dynein light chain Tctex-type 3 [Source:HGNC Symbol;Acc:HGNC:11694]
139,1028,Atp5d,ENSMUSG00000003072,1028.1.1,ATP5F1D,ENSG00000099624,ATP synthase F1 subunit delta [Source:HGNC Symbol;Acc:HGNC:837]
1500,1029,Rpl37a,ENSMUSG00000046330,1029.1.1,RPL37A,ENSG00000197756,ribosomal protein L37a [Source:HGNC Symbol;Acc:HGNC:10348]
698,1030,Gps2,ENSMUSG00000023170,1030.1.1,GPS2,ENSG00000132522,G protein pathway suppressor 2 [Source:HGNC Symbol;Acc:HGNC:4550]
1439,1031,Rcn2,ENSMUSG00000032320,1031.1.1,RCN2,ENSG00000117906,reticulocalbin 2 [Source:HGNC Symbol;Acc:HGNC:9935]
1863,1032,Tnrc6b,ENSMUSG00000047888,1032.1.1,TNRC6B,ENSG00000100354,trinucleotide repeat containing 6B [Source:HGNC Symbol;Acc:HGNC:29190]
896,1033,Kras,ENSMUSG00000030265,1033.1.1,KRAS,ENSG00000133703,"KRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:6407]"
647,1034,Gatad2b,ENSMUSG00000042390,1034.1.1,GATAD2B,ENSG00000143614,GATA zinc finger domain containing 2B [Source:HGNC Symbol;Acc:HGNC:30778]
766,1035,Hnrnpc,ENSMUSG00000060373,1035.1.1,HNRNPC,ENSG00000092199,heterogeneous nuclear ribonucleoprotein C (C1/C2) [Source:HGNC Symbol;Acc:HGNC:5035]
767,1035,Hnrnpc,ENSMUSG00000060373,1035.1.2,HNRNPCL1,ENSG00000179172,heterogeneous nuclear ribonucleoprotein C-like 1 [Source:HGNC Symbol;Acc:HGNC:29295]
768,1035,Hnrnpc,ENSMUSG00000060373,1035.1.3,HNRNPCL4,ENSG00000179412,heterogeneous nuclear ribonucleoprotein C-like 4 [Source:HGNC Symbol;Acc:HGNC:51333]
769,1035,Hnrnpc,ENSMUSG00000060373,1035.1.4,HNRNPCL2,ENSG00000275774,heterogeneous nuclear ribonucleoprotein C-like 2 [Source:HGNC Symbol;Acc:HGNC:48813]
770,1035,Hnrnpc,ENSMUSG00000060373,1035.1.5,HNRNPCL3,ENSG00000277058,heterogeneous nuclear ribonucleoprotein C-like 3 [Source:HGNC Symbol;Acc:HGNC:51235]
1864,1036,Tnrc6c,ENSMUSG00000025571,1036.1.1,TNRC6C,ENSG00000078687,trinucleotide repeat containing 6C [Source:HGNC Symbol;Acc:HGNC:29318]
1872,1037,Top2b,ENSMUSG00000017485,1037.1.1,TOP2B,ENSG00000077097,DNA topoisomerase II beta [Source:HGNC Symbol;Acc:HGNC:11990]
1888,1038,Trim56,ENSMUSG00000043279,1038.1.1,TRIM56,ENSG00000169871,tripartite motif containing 56 [Source:HGNC Symbol;Acc:HGNC:19028]
1009,1039,Mgea5,ENSMUSG00000025220,1039.1.1,OGA,ENSG00000198408,O-GlcNAcase [Source:HGNC Symbol;Acc:HGNC:7056]
1901,1040,Ttc14,ENSMUSG00000027677,1040.1.1,TTC14,ENSG00000163728,tetratricopeptide repeat domain 14 [Source:HGNC Symbol;Acc:HGNC:24697]
835,1041,Ino80d,ENSMUSG00000040865,1041.1.1,INO80D,ENSG00000114933,INO80 complex subunit D [Source:HGNC Symbol;Acc:HGNC:25997]
1137,1042,Ndufc2,ENSMUSG00000030647,1042.1.1,NDUFC2,ENSG00000151366,NADH:ubiquinone oxidoreductase subunit C2 [Source:HGNC Symbol;Acc:HGNC:7706]
1138,1042,Ndufc2,ENSMUSG00000030647,1042.1.2,NDUFC2-KCTD14,ENSG00000259112,NDUFC2-KCTD14 readthrough [Source:HGNC Symbol;Acc:HGNC:42956]
911,1043,Lbr,ENSMUSG00000004880,1043.1.1,LBR,ENSG00000143815,lamin B receptor [Source:HGNC Symbol;Acc:HGNC:6518]
713,1044,Guk1,ENSMUSG00000020444,1044.1.1,GUK1,ENSG00000143774,guanylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:4693]
285,1045,Cdh5,ENSMUSG00000031871,1045.1.1,CDH5,ENSG00000179776,cadherin 5 [Source:HGNC Symbol;Acc:HGNC:1764]
1632,1046,Sipa1,ENSMUSG00000056917,1046.1.1,SIPA1,ENSG00000213445,signal-induced proliferation-associated 1 [Source:HGNC Symbol;Acc:HGNC:10885]
1067,1047,mt-Nd6,ENSMUSG00000064368,1047.1.1,MT-ND6,ENSG00000198695,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]
484,1048,Dram2,ENSMUSG00000027900,1048.1.1,DRAM2,ENSG00000156171,DNA damage regulated autophagy modulator 2 [Source:HGNC Symbol;Acc:HGNC:28769]
1206,1049,Pabpc1,ENSMUSG00000022283,1049.1.1,N/A,N/A,N/A
1424,1050,Rasgrp3,ENSMUSG00000071042,1050.1.1,RASGRP3,ENSG00000152689,RAS guanyl releasing protein 3 [Source:HGNC Symbol;Acc:HGNC:14545]
1349,1051,Psma7,ENSMUSG00000027566,1051.1.1,PSMA7,ENSG00000101182,proteasome subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:9536]
987,1052,Matr3,ENSMUSG00000037236,1052.1.1,MATR3,ENSG00000015479,matrin 3 [Source:HGNC Symbol;Acc:HGNC:6912]
988,1052,Matr3,ENSMUSG00000037236,1052.1.2,MATR3,ENSG00000280987,matrin 3 [Source:NCBI gene;Acc:9782]
791,1053,Hsp90b1,ENSMUSG00000020048,1053.1.1,HSP90B1,ENSG00000166598,heat shock protein 90 beta family member 1 [Source:HGNC Symbol;Acc:HGNC:12028]
214,1054,C130074G19Rik,ENSMUSG00000039349,1054.1.1,C1orf115,ENSG00000162817,chromosome 1 open reading frame 115 [Source:HGNC Symbol;Acc:HGNC:25873]
2048,1055,Zfp706,ENSMUSG00000062397,1055.1.1,ZNF706,ENSG00000120963,zinc finger protein 706 [Source:HGNC Symbol;Acc:HGNC:24992]
807,1056,Ier2,ENSMUSG00000053560,1056.1.1,IER2,ENSG00000160888,immediate early response 2 [Source:HGNC Symbol;Acc:HGNC:28871]
1773,1057,Sypl,ENSMUSG00000020570,1057.1.1,SYPL1,ENSG00000008282,synaptophysin like 1 [Source:HGNC Symbol;Acc:HGNC:11507]
1312,1058,Ppp1r15a,ENSMUSG00000040435,1058.1.1,PPP1R15A,ENSG00000087074,protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]
1255,1059,Phip,ENSMUSG00000032253,1059.1.1,PHIP,ENSG00000146247,pleckstrin homology domain interacting protein [Source:HGNC Symbol;Acc:HGNC:15673]
1184,1060,Nsd3,ENSMUSG00000054823,1060.1.1,NSD3,ENSG00000147548,nuclear receptor binding SET domain protein 3 [Source:HGNC Symbol;Acc:HGNC:12767]
1843,1061,Tmem234,ENSMUSG00000028797,1061.1.1,TMEM234,ENSG00000160055,transmembrane protein 234 [Source:HGNC Symbol;Acc:HGNC:28837]
352,1062,Cobll1,ENSMUSG00000034903,1062.1.1,COBLL1,ENSG00000082438,cordon-bleu WH2 repeat protein like 1 [Source:HGNC Symbol;Acc:HGNC:23571]
1982,1063,Vezf1,ENSMUSG00000018377,1063.1.1,VEZF1,ENSG00000136451,vascular endothelial zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:12949]
1983,1063,Vezf1,ENSMUSG00000098546,1063.2.1,N/A,N/A,N/A
1338,1064,Prrc2b,ENSMUSG00000039262,1064.1.1,PRRC2B,ENSG00000130723,proline rich coiled-coil 2B [Source:HGNC Symbol;Acc:HGNC:28121]
641,1065,Gadd45g,ENSMUSG00000021453,1065.1.1,GADD45G,ENSG00000130222,growth arrest and DNA damage inducible gamma [Source:HGNC Symbol;Acc:HGNC:4097]
1567,1066,S1pr1,ENSMUSG00000045092,1066.1.1,S1PR1,ENSG00000170989,sphingosine-1-phosphate receptor 1 [Source:HGNC Symbol;Acc:HGNC:3165]
936,1067,Lrp8,ENSMUSG00000028613,1067.1.1,LRP8,ENSG00000157193,LDL receptor related protein 8 [Source:HGNC Symbol;Acc:HGNC:6700]
118,1068,Arl6ip5,ENSMUSG00000035199,1068.1.1,ARL6IP5,ENSG00000144746,ADP ribosylation factor like GTPase 6 interacting protein 5 [Source:HGNC Symbol;Acc:HGNC:16937]
241,1069,Card19,ENSMUSG00000037960,1069.1.1,CARD19,ENSG00000165233,caspase recruitment domain family member 19 [Source:HGNC Symbol;Acc:HGNC:28148]
532,1070,Eif4g1,ENSMUSG00000045983,1070.1.1,EIF4G1,ENSG00000114867,eukaryotic translation initiation factor 4 gamma 1 [Source:HGNC Symbol;Acc:HGNC:3296]
1210,1071,Palm,ENSMUSG00000035863,1071.1.1,PALM,ENSG00000099864,paralemmin [Source:HGNC Symbol;Acc:HGNC:8594]
1414,1072,Rap1a,ENSMUSG00000068798,1072.1.1,RAP1A,ENSG00000116473,"RAP1A, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9855]"
91,1073,Apbb2,ENSMUSG00000029207,1073.1.1,APBB2,ENSG00000163697,amyloid beta precursor protein binding family B member 2 [Source:HGNC Symbol;Acc:HGNC:582]
1997,1074,Wbp4,ENSMUSG00000022023,1074.1.1,WBP4,ENSG00000120688,WW domain binding protein 4 [Source:HGNC Symbol;Acc:HGNC:12739]
727,1075,H3f3b,ENSMUSG00000016559,1075.1.1,H3F3B,ENSG00000132475,H3 histone family member 3B [Source:HGNC Symbol;Acc:HGNC:4765]
728,1075,H3f3b,ENSMUSG00000016559,1075.1.2,H3F3C,ENSG00000188375,H3 histone family member 3C [Source:HGNC Symbol;Acc:HGNC:33164]
642,1076,Gapdh,ENSMUSG00000057666,1076.1.1,GAPDH,ENSG00000111640,glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]
1498,1077,Rpl36a,ENSMUSG00000079435,1077.2.1,RPL36A,ENSG00000241343,ribosomal protein L36a [Source:HGNC Symbol;Acc:HGNC:10359]
1736,1078,Ssfa2,N/A,1078.1.1,N/A,N/A,N/A
820,1079,Ifnar2,ENSMUSG00000022971,1079.1.1,IFNAR2,ENSG00000159110,interferon alpha and beta receptor subunit 2 [Source:HGNC Symbol;Acc:HGNC:5433]
821,1079,Ifnar2,ENSMUSG00000022971,1079.1.2,AP000295.1,ENSG00000249624,novel protein
1695,1080,Sod1,ENSMUSG00000022982,1080.1.1,SOD1,ENSG00000142168,superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179]
1001,1081,Med28,ENSMUSG00000015804,1081.1.1,MED28,ENSG00000118579,mediator complex subunit 28 [Source:HGNC Symbol;Acc:HGNC:24628]
1769,1082,Syf2,ENSMUSG00000028821,1082.1.1,SYF2,ENSG00000117614,SYF2 pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:19824]
1290,1083,Polr1d,ENSMUSG00000029642,1083.1.1,POLR1D,ENSG00000186184,RNA polymerase I and III subunit D [Source:HGNC Symbol;Acc:HGNC:20422]
809,1084,Ier3ip1,ENSMUSG00000090000,1084.1.1,IER3IP1,ENSG00000134049,immediate early response 3 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:18550]
810,1084,Ier3ip1,ENSMUSG00000090000,1084.1.2,AC012254.2,ENSG00000267228,novel transcript
2007,1085,Xiap,ENSMUSG00000025860,1085.1.1,BIRC8,ENSG00000163098,baculoviral IAP repeat containing 8 [Source:HGNC Symbol;Acc:HGNC:14878]
1678,1086,Smim11,ENSMUSG00000051989,1086.1.1,SMIM11A,ENSG00000205670,small integral membrane protein 11A [Source:HGNC Symbol;Acc:HGNC:1293]
1679,1086,Smim11,ENSMUSG00000051989,1086.1.2,SMIM11B,ENSG00000273590,small integral membrane protein 11B [Source:HGNC Symbol;Acc:HGNC:51846]
1532,1087,Rps3,ENSMUSG00000030744,1087.1.1,RPS3,ENSG00000149273,ribosomal protein S3 [Source:HGNC Symbol;Acc:HGNC:10420]
1964,1088,Usp46,ENSMUSG00000054814,1088.1.1,USP46,ENSG00000109189,ubiquitin specific peptidase 46 [Source:HGNC Symbol;Acc:HGNC:20075]
1850,1089,Tmem9b,ENSMUSG00000031021,1089.1.1,TMEM9B,ENSG00000175348,TMEM9 domain family member B [Source:HGNC Symbol;Acc:HGNC:1168]
1680,1090,Smim14,ENSMUSG00000037822,1090.1.1,SMIM14,ENSG00000163683,small integral membrane protein 14 [Source:HGNC Symbol;Acc:HGNC:27321]
1421,1091,Rasal2,ENSMUSG00000070565,1091.1.1,RASAL2,ENSG00000075391,RAS protein activator like 2 [Source:HGNC Symbol;Acc:HGNC:9874]
1709,1092,Sptan1,ENSMUSG00000057738,1092.1.1,SPTAN1,ENSG00000197694,"spectrin alpha, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11273]"
904,1093,Lamtor2,ENSMUSG00000028062,1093.1.1,LAMTOR2,ENSG00000116586,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 2 [Source:HGNC Symbol;Acc:HGNC:29796]"
330,1094,Clic1,ENSMUSG00000007041,1094.1.1,CLIC1,ENSG00000213719,chloride intracellular channel 1 [Source:HGNC Symbol;Acc:HGNC:2062]
805,1095,Id2,ENSMUSG00000020644,1095.1.1,ID2,ENSG00000115738,inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]
316,1096,Chic2,ENSMUSG00000029229,1096.1.1,CHIC2,ENSG00000109220,cysteine rich hydrophobic domain 2 [Source:HGNC Symbol;Acc:HGNC:1935]
1311,1097,Ppp1r12a,ENSMUSG00000019907,1097.1.1,PPP1R12A,ENSG00000058272,protein phosphatase 1 regulatory subunit 12A [Source:HGNC Symbol;Acc:HGNC:7618]
28,1098,Acin1,ENSMUSG00000022185,1098.1.1,ACIN1,ENSG00000100813,apoptotic chromatin condensation inducer 1 [Source:HGNC Symbol;Acc:HGNC:17066]
980,1099,March7,ENSMUSG00000026977,1099.1.1,MARCH7,ENSG00000136536,membrane associated ring-CH-type finger 7 [Source:HGNC Symbol;Acc:HGNC:17393]
1320,1100,Ppp4c,ENSMUSG00000030697,1100.1.1,PPP4C,ENSG00000149923,protein phosphatase 4 catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9319]
773,1101,Hnrnpf,ENSMUSG00000042079,1101.1.1,HNRNPF,ENSG00000169813,heterogeneous nuclear ribonucleoprotein F [Source:HGNC Symbol;Acc:HGNC:5039]
1672,1102,Smc3,ENSMUSG00000024974,1102.1.1,SMC3,ENSG00000108055,structural maintenance of chromosomes 3 [Source:HGNC Symbol;Acc:HGNC:2468]
1123,1103,Ndufab1,ENSMUSG00000030869,1103.1.1,NDUFAB1,ENSG00000004779,NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]
428,1104,Dab2,ENSMUSG00000022150,1104.1.1,DAB2,ENSG00000153071,"DAB2, clathrin adaptor protein [Source:HGNC Symbol;Acc:HGNC:2662]"
1455,1105,Rhobtb1,ENSMUSG00000019944,1105.1.1,RHOBTB1,ENSG00000072422,Rho related BTB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18738]
1537,1106,Rps6kb1,ENSMUSG00000020516,1106.1.1,RPS6KB1,ENSG00000108443,ribosomal protein S6 kinase B1 [Source:HGNC Symbol;Acc:HGNC:10436]
1538,1106,Rps6kb1,ENSMUSG00000020516,1106.1.2,AC005702.1,ENSG00000267318,novel protein
1859,1107,Tnfaip1,ENSMUSG00000017615,1107.1.1,TNFAIP1,ENSG00000109079,TNF alpha induced protein 1 [Source:HGNC Symbol;Acc:HGNC:11894]
351,1108,Coa3,ENSMUSG00000017188,1108.1.1,COA3,ENSG00000183978,cytochrome c oxidase assembly factor 3 [Source:HGNC Symbol;Acc:HGNC:24990]
1874,1109,Tpd52l1,ENSMUSG00000000296,1109.1.1,TPD52L1,ENSG00000111907,TPD52 like 1 [Source:HGNC Symbol;Acc:HGNC:12006]
1157,1110,Nfia,ENSMUSG00000028565,1110.1.1,NFIA,ENSG00000162599,nuclear factor I A [Source:HGNC Symbol;Acc:HGNC:7784]
1661,1111,Slco1c1,ENSMUSG00000030235,1111.1.1,SLCO1C1,ENSG00000139155,solute carrier organic anion transporter family member 1C1 [Source:HGNC Symbol;Acc:HGNC:13819]
1127,1112,Ndufb2,ENSMUSG00000002416,1112.1.1,NDUFB2,ENSG00000090266,NADH:ubiquinone oxidoreductase subunit B2 [Source:HGNC Symbol;Acc:HGNC:7697]
1375,1113,Ptpra,ENSMUSG00000027303,1113.1.1,PTPRA,ENSG00000132670,"protein tyrosine phosphatase, receptor type A [Source:HGNC Symbol;Acc:HGNC:9664]"
1174,1114,Npc2,ENSMUSG00000021242,1114.1.1,NPC2,ENSG00000119655,NPC intracellular cholesterol transporter 2 [Source:HGNC Symbol;Acc:HGNC:14537]
298,1115,Celf1,ENSMUSG00000005506,1115.1.1,CELF1,ENSG00000149187,CUGBP Elav-like family member 1 [Source:HGNC Symbol;Acc:HGNC:2549]
299,1115,Celf1,ENSMUSG00000110883,1115.2.1,N/A,N/A,N/A
161,1116,Atxn1,ENSMUSG00000046876,1116.1.1,ATXN1,ENSG00000124788,ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]
1131,1117,Ndufb6,ENSMUSG00000071014,1117.1.1,NDUFB6,ENSG00000165264,NADH:ubiquinone oxidoreductase subunit B6 [Source:HGNC Symbol;Acc:HGNC:7701]
370,1118,Cox6a1,ENSMUSG00000041697,1118.1.1,COX6A1,ENSG00000111775,cytochrome c oxidase subunit 6A1 [Source:HGNC Symbol;Acc:HGNC:2277]
1348,1119,Psma6,ENSMUSG00000021024,1119.1.1,PSMA6,ENSG00000100902,proteasome subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:9535]
1335,1120,Prpf38b,ENSMUSG00000027881,1120.1.1,N/A,N/A,N/A
322,1121,Chrac1,ENSMUSG00000068391,1121.1.1,CHRAC1,ENSG00000104472,chromatin accessibility complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:13544]
1470,1122,Rpl10,ENSMUSG00000008682,1122.1.1,N/A,N/A,N/A
1471,1122,Rpl10,ENSMUSG00000058443,1122.2.1,N/A,N/A,N/A
720,1123,H2afj,ENSMUSG00000060032,1123.1.1,H2AFJ,ENSG00000246705,H2A histone family member J [Source:HGNC Symbol;Acc:HGNC:14456]
2017,1124,Ywhab,ENSMUSG00000018326,1124.1.1,YWHAB,ENSG00000166913,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta [Source:HGNC Symbol;Acc:HGNC:12849]
1904,1125,Ttll7,ENSMUSG00000036745,1125.1.1,TTLL7,ENSG00000137941,tubulin tyrosine ligase like 7 [Source:HGNC Symbol;Acc:HGNC:26242]
585,1126,Fam220a,ENSMUSG00000083012,1126.1.1,FAM220A,ENSG00000178397,family with sequence similarity 220 member A [Source:HGNC Symbol;Acc:HGNC:22422]
586,1126,Fam220a,ENSMUSG00000083012,1126.1.2,AC009412.1,ENSG00000286075,Protein FAM220A  [Source:UniProtKB/Swiss-Prot;Acc:Q7Z4H9]
587,1126,Fam220a,ENSMUSG00000118332,1126.2.1,FAM220A,ENSG00000178397,family with sequence similarity 220 member A [Source:HGNC Symbol;Acc:HGNC:22422]
588,1126,Fam220a,ENSMUSG00000118332,1126.2.2,AC009412.1,ENSG00000286075,Protein FAM220A  [Source:UniProtKB/Swiss-Prot;Acc:Q7Z4H9]
1570,1127,Sap18,ENSMUSG00000021963,1127.1.1,SAP18,ENSG00000150459,Sin3A associated protein 18 [Source:HGNC Symbol;Acc:HGNC:10530]
1571,1127,Sap18,ENSMUSG00000061104,1127.2.1,SAP18,ENSG00000150459,Sin3A associated protein 18 [Source:HGNC Symbol;Acc:HGNC:10530]
1406,1128,Ralbp1,ENSMUSG00000024096,1128.1.1,RALBP1,ENSG00000017797,ralA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9841]
460,1129,Dnaja1,ENSMUSG00000028410,1129.1.1,N/A,N/A,N/A
1336,1130,Prpf40a,ENSMUSG00000061136,1130.1.1,PRPF40A,ENSG00000196504,pre-mRNA processing factor 40 homolog A [Source:HGNC Symbol;Acc:HGNC:16463]
1531,1131,Rps29,ENSMUSG00000034892,1131.1.1,N/A,N/A,N/A
1047,1132,Mrpl52,ENSMUSG00000010406,1132.1.1,MRPL52,ENSG00000172590,mitochondrial ribosomal protein L52 [Source:HGNC Symbol;Acc:HGNC:16655]
1310,1133,Ppp1r11,ENSMUSG00000036398,1133.1.1,PPP1R11,ENSG00000204619,protein phosphatase 1 regulatory inhibitor subunit 11 [Source:HGNC Symbol;Acc:HGNC:9285]
1584,1134,Scp2,ENSMUSG00000028603,1134.1.1,SCP2,ENSG00000116171,sterol carrier protein 2 [Source:HGNC Symbol;Acc:HGNC:10606]
1005,1135,Mettl9,ENSMUSG00000030876,1135.1.1,METTL9,ENSG00000197006,methyltransferase like 9 [Source:HGNC Symbol;Acc:HGNC:24586]
1654,1136,Slc40a1,ENSMUSG00000025993,1136.1.1,SLC40A1,ENSG00000138449,solute carrier family 40 member 1 [Source:HGNC Symbol;Acc:HGNC:10909]
694,1137,Gpcpd1,ENSMUSG00000027346,1137.1.1,GPCPD1,ENSG00000125772,glycerophosphocholine phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:26957]
1940,1138,Ubxn1,ENSMUSG00000071655,1138.1.1,UBXN1,ENSG00000162191,UBX domain protein 1 [Source:HGNC Symbol;Acc:HGNC:18402]
365,1139,Cox17,ENSMUSG00000046516,1139.1.1,COX17,ENSG00000138495,cytochrome c oxidase copper chaperone COX17 [Source:HGNC Symbol;Acc:HGNC:2264]
366,1139,Cox17,ENSMUSG00000095464,1139.2.1,COX17,ENSG00000138495,cytochrome c oxidase copper chaperone COX17 [Source:HGNC Symbol;Acc:HGNC:2264]
510,1140,Eef1g,ENSMUSG00000071644,1140.1.1,EEF1G,ENSG00000254772,eukaryotic translation elongation factor 1 gamma [Source:HGNC Symbol;Acc:HGNC:3213]
71,1141,Amotl2,ENSMUSG00000032531,1141.1.1,AMOTL2,ENSG00000114019,angiomotin like 2 [Source:HGNC Symbol;Acc:HGNC:17812]
804,1142,Id1,ENSMUSG00000042745,1142.1.1,ID1,ENSG00000125968,"inhibitor of DNA binding 1, HLH protein [Source:HGNC Symbol;Acc:HGNC:5360]"
152,1143,Atp6v0a1,ENSMUSG00000019302,1143.1.1,ATP6V0A1,ENSG00000033627,ATPase H+ transporting V0 subunit a1 [Source:HGNC Symbol;Acc:HGNC:865]
729,1144,Hbb-bs,ENSMUSG00000052305,1144.1.1,N/A,N/A,N/A
730,1144,Hbb-bs,ENSMUSG00000073940,1144.2.1,N/A,N/A,N/A
553,1145,Eno1,ENSMUSG00000059040,1145.1.1,ENO1,ENSG00000074800,enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]
554,1145,Eno1,ENSMUSG00000063524,1145.2.1,ENO1,ENSG00000074800,enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]
1199,1146,Ogdh,ENSMUSG00000020456,1146.1.1,OGDH,ENSG00000105953,oxoglutarate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8124]
182,1147,Bcam,ENSMUSG00000002980,1147.1.1,BCAM,ENSG00000187244,basal cell adhesion molecule (Lutheran blood group) [Source:HGNC Symbol;Acc:HGNC:6722]
60,1148,Akt1,ENSMUSG00000001729,1148.1.1,AKT1,ENSG00000142208,AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]
1738,1149,Ssr2,ENSMUSG00000041355,1149.1.1,SSR2,ENSG00000163479,signal sequence receptor subunit 2 [Source:HGNC Symbol;Acc:HGNC:11324]
1670,1150,Smarca4,ENSMUSG00000032187,1150.1.1,SMARCA4,ENSG00000127616,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4 [Source:HGNC Symbol;Acc:HGNC:11100]"
952,1151,Lsr,ENSMUSG00000001247,1151.1.1,LSR,ENSG00000105699,lipolysis stimulated lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:29572]
1446,1152,Rexo2,ENSMUSG00000032026,1152.1.1,REXO2,ENSG00000076043,RNA exonuclease 2 [Source:HGNC Symbol;Acc:HGNC:17851]
320,1153,Chmp4b,ENSMUSG00000038467,1153.1.1,CHMP4B,ENSG00000101421,charged multivesicular body protein 4B [Source:HGNC Symbol;Acc:HGNC:16171]
624,1154,Fry,ENSMUSG00000056602,1154.1.1,FRY,ENSG00000073910,FRY microtubule binding protein [Source:HGNC Symbol;Acc:HGNC:20367]
435,1155,Dcaf8,ENSMUSG00000026554,1155.1.1,DCAF8,ENSG00000132716,DDB1 and CUL4 associated factor 8 [Source:HGNC Symbol;Acc:HGNC:24891]
436,1155,Dcaf8,ENSMUSG00000026554,1155.1.2,AL139011.2,ENSG00000258465,novel protein
1031,1156,Mospd1,ENSMUSG00000023074,1156.1.1,MOSPD1,ENSG00000101928,motile sperm domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25235]
537,1157,Eif5a,ENSMUSG00000078812,1157.1.1,EIF5A,ENSG00000132507,eukaryotic translation initiation factor 5A [Source:HGNC Symbol;Acc:HGNC:3300]
538,1157,Eif5a,ENSMUSG00000078812,1157.1.2,EIF5AL1,ENSG00000253626,eukaryotic translation initiation factor 5A-like 1 [Source:HGNC Symbol;Acc:HGNC:17419]
151,1158,Atp5o.1,N/A,1158.1.1,N/A,N/A,N/A
1193,1159,Nxpe4,ENSMUSG00000044229,1159.1.1,NXPE4,ENSG00000137634,neurexophilin and PC-esterase domain family member 4 [Source:HGNC Symbol;Acc:HGNC:23117]
496,1160,Dynlrb1,ENSMUSG00000047459,1160.1.1,DYNLRB1,ENSG00000125971,dynein light chain roadblock-type 1 [Source:HGNC Symbol;Acc:HGNC:15468]
466,1161,Dnajc1,ENSMUSG00000026740,1161.1.1,DNAJC1,ENSG00000136770,DnaJ heat shock protein family (Hsp40) member C1 [Source:HGNC Symbol;Acc:HGNC:20090]
1648,1162,Slc31a1,ENSMUSG00000066150,1162.1.1,SLC31A1,ENSG00000136868,solute carrier family 31 member 1 [Source:HGNC Symbol;Acc:HGNC:11016]
